chembl_id	accession	organism	pref_name	chembl_id_target	smiles	pIC50
CHEMBL10	P23219	Homo_sapiens	Cyclooxygenase-1	CHEMBL221	CS(=O)C1C=CC(C2=NC(=C(N2)C2C=CC(F)=CC=2)C2C=CN=CC=2)=CC=1	5.69897000433602
CHEMBL100091	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CCCCOCCOC(=O)CC1C2=C(N(C(=O)C3C=CC(Cl)=CC=3)C=1C)C=CC(OC)=C2	7.22184874961636
CHEMBL100092	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CCCCCCOC(=O)CC1C2=C(N(C(=O)C3C=CC(Cl)=CC=3)C=1C)C=CC(OC)=C2	7.22184874961636
CHEMBL100156	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CS(=O)(=O)C1C=CC(C2C(C3C=CC=CC=3)=CSC=2)=CC=1	5.39794000867204
CHEMBL100250	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CS(=O)(=O)C1C=CC(C2=C(SC=C2)C2C=CC=CC=2)=CC=1	5.39794000867204
CHEMBL100331	P23219	Homo_sapiens	Cyclooxygenase-1	CHEMBL221	CCCCCCCCN=C(O)CC1C2=C(N(C(=O)C3C=CC(Cl)=CC=3)C=1C)C=CC(OC)=C2	4.18045606445813
CHEMBL100331	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CCCCCCCCN=C(O)CC1C2=C(N(C(=O)C3C=CC(Cl)=CC=3)C=1C)C=CC(OC)=C2	7.39794000867204
CHEMBL100422	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	COC1=C(F)C=C(C2C(C3C=CC(S(=O)(=O)C)=CC=3)=CSC=2)C=C1	7.52287874528034
CHEMBL101	P23219	Homo_sapiens	Cyclooxygenase-1	CHEMBL221	CCCCC1C(=O)N(N(C1=O)C1C=CC=CC=1)C1C=CC=CC=1	5.52287874528034
CHEMBL101459	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CS(=O)(=O)C1C=CC(C2=C(SC(=C2)CC	4.30980391997149
CHEMBL101503	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CS(=O)(=O)C1C=CC(C2C(C3C=CC=CC=3)=CC=CC=2)=CC=1	4.95860731484177
CHEMBL1020	P23219	Homo_sapiens	Cyclooxygenase-1	CHEMBL221	CC1C=CC(C(=O)C2N(C(CC(O)=O)=CC=2)C)=CC=1	7.38721614328026
CHEMBL102223	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	C1C=CC(C2C(OCC=2C2C=CC(N=[N+]=[N-])=CC=2)=O)=CC=1	6.70774392864352
CHEMBL10345	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CC(OC1C(OC(C=1C1C=CC(S(=O)(=O)C)=CC=1)(C)C)=O)C	6.52287874528034
CHEMBL104	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	C1C=CC(C(N2C=NC=C2)(C2C(Cl)=CC=CC=2)C2C=CC=CC=2)=CC=1	4.37886527949414
CHEMBL104009	P05979	Ovis_aries	Cyclooxygenase-1	CHEMBL2949	CCOC1C=C(C2=C(F)C=C(C(C(O)=O)C)C=C2)C=CC=1	7.85387196432176
CHEMBL104009	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CCOC1C=C(C2=C(F)C=C(C(C(O)=O)C)C=C2)C=CC=1	7.85387196432176
