ComID Y
100-00-5 1
100-01-6 1
100-02-7 0
100-03-8 0
100-14-1 1
100-15-2 1
100-17-4 1
100-19-6 1
100-21-0 0
100-22-1 1
100-27-6 1
100-32-3 1
100-37-8 0
100-39-0 1
100-40-3 0
100-41-4 0
100-44-7 1
100-47-0 0
100-51-6 0
100-52-7 0
100-61-8 0
100-64-1 1
100-65-2 1
100-74-3 1
100-75-4 1
10048-13-2 1
10061-01-5 1
10061-02-6 1
10087-89-5 1
101-02-0 0
101-05-3 0
101-14-4 1
101-18-8 0
101-20-2 0
101-26-8 0
101-39-3 0
101-54-2 0
101-61-1 1
101-67-7 0
101-68-8 0
101-70-2 0
101-72-4 0
101-73-5 0
101-77-9 1
101-80-4 1
101-83-7 0
101-84-8 0
101-90-6 1
101-96-2 0
10125-76-5 1
10143-23-4 0
10169-02-5 0
10190-66-6 1
102-01-2 0
102-06-7 1
102-08-9 0
102-28-3 1
102-50-1 1
102-69-2 0
102-70-5 0
102-71-6 0
102-81-8 0
102-82-9 0
10213-75-9 0
1025-15-6 0
103-11-7 0
103-23-1 0
103-30-0 0
103-33-3 1
103-50-4 0
103-69-5 0
103-70-8 0
103-85-5 0
103-89-9 1
103-90-2 0
10318-26-0 1
10335-79-2 1
10387-13-0 1
104-28-9 0
104-46-1 0
104-49-4 0
104-75-6 0
104-76-7 0
104-85-8 0
104-88-1 0
104-90-5 0
104-91-6 1
104-94-9 1
105-11-3 1
105-36-2 1
105-55-5 0
105-58-8 0
105-59-9 0
105-60-2 0
105-67-9 1
105-87-3 0
106-20-7 0
106-38-7 0
106-39-8 0
106-40-1 0
106-42-3 0
106-43-4 0
106-44-5 0
106-46-7 0
106-47-8 1
106-48-9 0
106-51-4 0
106-63-8 0
106-65-0 0
106-87-6 1
106-88-7 1
106-89-8 1
106-90-1 1
106-91-2 1
106-92-3 1
106-93-4 1
106-95-6 1
106-97-8 0
106-99-0 1
10605-21-7 1
1064-48-8 1
107-04-0 1
107-05-1 1
107-06-2 1
107-07-3 1
107-11-9 0
107-12-0 0
107-13-1 1
107-14-2 0
107-15-3 1
107-16-4 0
107-18-6 0
107-19-7 1
107-20-0 1
107-21-1 0
107-22-2 1
107-29-9 1
107-31-3 0
107-35-7 0
107-70-0 0
107-87-9 0
107-92-6 0
1071-83-6 0
1072-52-2 1
1072-53-3 1
1073-05-8 1
1074-12-0 1
1077-28-7 0
108-01-0 0
108-03-2 0
108-05-4 0
108-09-8 0
108-10-1 0
108-18-9 0
108-21-4 0
108-24-7 0
108-30-5 0
108-31-6 0
108-37-2 0
108-38-3 0
108-39-4 0
108-42-9 0
108-43-0 0
108-45-2 1
108-46-3 0
108-60-1 1
108-68-9 0
108-69-0 1
108-70-3 0
108-78-1 0
108-80-5 0
108-83-8 0
108-86-1 0
108-88-3 0
108-90-7 0
108-91-8 0
108-93-0 0
108-94-1 0
108-95-2 0
108-99-6 0
109-09-1 1
109-55-7 0
109-57-9 0
109-66-0 0
109-69-3 0
109-73-9 0
109-76-2 0
109-77-3 0
109-78-4 0
